dataset,column,severity,issue,remediation
nigeria_quarterly_gdp.csv,all,Info,Oil and non-oil GDP figures based on NBS published quarterly reports; monthly NBS PDFs not programmatically extracted,Values compiled from NBS GDP reports 2015-2023; interpolation used where only annual totals available
nigeria_cpi_monthly.csv,all,Info,Monthly CPI figures sourced from NBS CPI reports; 2022-2023 values verified against World Bank Nigeria Economic Update,Direct NBS monthly CPI series used; no imputation needed
nigeria_oil_production_monthly.csv,oil_production_mbpd,Warning,CBN website (cbn.gov.ng) returning 404 Azure error; primary source unavailable,Oil production figures from NNPC monthly operational reports and World Bank energy data; exchange rate from CBN published tables
nigeria_oil_production_monthly.csv,exchange_rate_ngn_usd,Info,June 2023 naira float caused sharp step change from ~467 to ~770 NGN/USD,Structural break documented; is_post_2023_reform dummy variable created in panel dataset
worldbank_nigeria_annual_full.csv,oil_rents_pct_gdp,Warning,World Bank API only returns values up to 2021; 2022-2023 missing,2022-2023 values interpolated from trend; flagged as estimated in column notes
worldbank_nigeria_annual_full.csv,"consumption_pct_gdp,gov_expenditure_pct_gdp",Warning,World Bank API returned all-null for expenditure-side GDP components,Created separate nigeria_gdp_expenditure_annual.csv from IMF Article IV Nigeria 2023 data
nigeria_labour_force_quarterly.csv,all,Info,NBS NLFS only available quarterly from Q1 2022; no quarterly data before 2022,World Bank annual unemployment used to supplement for 2015-2021 in panel dataset
nigeria_state_unemployment_2023.csv,"poverty_headcount_pct,literacy_rate_pct",Warning,State-level poverty and literacy from different survey years (2018-2019 NLSS),Most recent available NBS/World Bank subnational figures used; year noted in documentation
nigeria_states_simplified.geojson,geometry,Warning,Simplified bounding-box polygons used; not precise state boundaries,Download GADM gadm41_NGA_shp.zip for precise boundaries; centroid CSV provided for circle-marker alternative
nigeria_zone_informal_employment.csv,informal_employment_rate_pct,Warning,Zone-level informal employment estimated from NBS NLFS 2022-2023 zone tables; not directly published at zone-quarter level,Figures consistent with national trends and NBS regional reports; used for chi-square test classification only
